NBA Stats 2021/22: All Player Statistics in one Page,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANK,FULL NAME,TEAM,POS,AGE,GP,MPG,MIN%Minutes PercentagePercentage of team minutes used by a player while he was on the floor,"USG%Usage RateUsage rate, a.k.a., usage percentage is an estimate of the percentage of team plays used by a player while he was on the floor",TO%Turnover RateA metric that estimates the number of turnovers a player commits per 100 possessions,FTA,FT%,2PA,2P%,3PA,3P%,"eFG%Effective Shooting PercentageWith eFG%, three-point shots made are worth 50% more than two-point shots made. eFG% Formula=(FGM+ (0.5 x 3PM))/FGA","TS%True Shooting PercentageTrue shooting percentage is a measure of shooting efficiency that takes into account field goals, 3-point field goals, and free throws.",PPGPointsPoints per game.,RPGReboundsRebounds per game.,TRB%Total Rebound PercentageTotal rebound percentage is estimated percentage of available rebounds grabbed by the player while the player is on the court.,APGAssistsAssists per game.,AST%Assist PercentageAssist percentage is an estimated percentage of teammate field goals a player assisted while the player is on the court,SPGStealsSteals per game.,BPGBlocksBlocks per game.,TOPGTurnoversTurnovers per game.,"VIVersatility IndexVersatility index is a metric that measures a player’s ability to produce in points, assists, and rebounds. The average player will score around a five on the index, while top players score above 10",ORTGOffensive RatingIndividual offensive rating is the number of points produced by a player per 100 total individual possessions.,DRTGDefensive RatingIndividual defensive rating estimates how many points the player allowed per 100 possessions he individually faced while staying on the court.
,Precious Achiuwa,Tor,F,22.61,6,27.8,57.8,18.2,13.8,10,0.6,36,0.556,16,0.313,0.529,0.541,10.2,4.8,10.7,1,5.7,0.17,0.83,1.5,5.3,103.3,108
,Steven Adams,Mem,C,28.78,3,10.2,21.3,1.3,100,0,0,0,0,0,0,,,0,1.7,9.2,1.3,15.8,0,0,0.33,0,,92.3
,Bam Adebayo,Mia,C-F,24.78,5,31.4,65.5,18.8,22.5,22,0.818,42,0.524,0,0,0.524,0.6,12.4,8,15.4,3.6,16.6,1,0.6,3,9,109.7,98.9
,Nickeil Alexander-Walker,Uta,G,23.66,1,4.7,9.8,24.4,0,1,1,2,1,0,0,1,1.025,5,1,12.4,1,70.1,1,0,0,14.6,214.3,100.4
,Grayson Allen,Mil,G,26.56,5,24.1,50.2,16.1,6.7,4,0.75,16,0.625,24,0.583,0.775,0.778,13,3.4,7.1,0.4,2.6,1,0.4,0.6,4.3,138.5,107.3
,Jose Alvarado,Nor,G,24.05,6,19.5,40.6,16.8,15.3,13,0.769,17,0.588,16,0.375,0.576,0.62,8,1.3,4,1.5,11.4,1.17,0.17,1.17,5.1,114.2,99.9
,Kyle Anderson,Mem,F-G,28.61,5,21.1,44,8.1,4.7,7,0.857,15,0.667,2,0,0.588,0.647,5.2,4.8,12.8,1.6,10.3,1,0.4,0.2,6.5,146.3,101.6
,Giannis Antetokounmpo,Mil,F,27.4,5,33.6,70,34.1,13.6,60,0.683,75,0.64,13,0.154,0.58,0.625,28.6,13.4,19.9,6.2,33.7,0.2,1.4,3.6,15.9,120.8,100.1
,Thanasis Antetokounmpo,Mil,F,29.78,3,4.4,9.1,11.4,0,1,0,3,0.667,0,0,0.667,0.581,1.3,0.7,7.6,0.3,11,0.33,0,0,5.9,123.5,86.2
,OG Anunoby,Tor,F,24.78,6,36.1,75.2,21.2,10.1,16,0.75,41,0.61,41,0.341,0.561,0.584,17.3,4,6.8,2.5,11.5,1,0.17,1.67,6.2,115.8,108.2
